reading images completed in: 0.0336442 seconds.
img 1: Anchorage1964_01.jpg score: 0.813502 / 2
img 2: Anchorage1964_02.jpg score: 11.3595 / 19
img 3: Anchorage1964_03.jpg score: 2.03001 / 3
img 4: Anchorage1964_04.jpg score: 30.7639 / 39
img 5: Anchorage1964_05.jpg score: 17.7151 / 29
img 6: Anchorage1964_06.jpg score: 1.40305 / 3
img 7: Anchorage1964_07.jpg score: 4.28294 / 9
img 8: Anchorage1964_08.jpg score: 3.03683 / 6
img 9: Anchorage1964_09.jpg score: 7.98761 / 19
img 10: Anchorage1964_10.jpg score: 1.57833 / 4
img 11: Anchorage1964_11.jpg score: 4.11791 / 8
img 12: Anchorage1964_12.jpg score: 2.79445 / 5
img 13: Anchorage1964_13.jpg score: 1.77176 / 3
img 14: Anchorage1964_14.jpg score: 6.81946 / 12
img 15: Anchorage1964_15.jpg score: 5.21551 / 9
img 16: Anchorage1964_16.jpg score: 1.78492 / 6
img 17: Anchorage1964_17.jpg score: 0.310715 / 3
img 18: Anchorage1964_18.jpg score: 5.93977 / 10
img 19: Anchorage1964_19.jpg score: 11.7132 / 18
img 20: Anchorage1964_20.jpg score: 2.08083 / 5
img 21: Anchorage1964_21.jpg score: 1.72926 / 4
img 22: Bingol2003_01.jpg score: 10.771 / 19
img 23: Bingol2003_02.jpg score: 2.70391 / 8
img 24: Bingol2003_03.jpg score: 1.79342 / 7
img 25: Bingol2003_04.jpg score: 4.19432 / 8
img 26: CanterburyNZSeries2010_01.jpg score: 0.0242215 / 1
img 27: CanterburyNZSeries2010_02.jpg score: 1.36166 / 2
img 28: CanterburyNZSeries2010_03.jpg score: 0.0787936 / 1
img 29: CanterburyNZSeries2010_04.jpg score: 4.58323 / 8
img 30: CanterburyNZSeries2010_05.jpg score: 0.469279 / 2
img 31: CanterburyNZSeries2010_06.jpg score: 0.519989 / 2
img 32: CanterburyNZSeries2010_08.jpg score: 2.55713 / 4
img 33: CanterburyNZSeries2010_09.jpg score: 0.533918 / 2
img 34: CanterburyNZSeries2010_10.jpg score: 1.06179 / 4
img 35: CanterburyNZSeries2010_11.jpg score: 0 / 2
img 36: CanterburyNZSeries2010_12.jpg score: 1.13075 / 4
img 37: CanterburyNZSeries2010_13.jpg score: 0.973796 / 2
img 38: Caracas1967_01.jpg score: 2.1933 / 4
img 39: Caracas1967_02.jpg score: 2.34168 / 4
img 40: Caracas1967_03.jpg score: 3.18422 / 6
img 41: Caracas1967_04.jpg score: 1.34016 / 3
img 42: Caracas1967_05.jpg score: 4.231 / 10
img 43: Caracas1967_06.jpg score: 0.965529 / 2
img 44: Caracas1967_07.jpg score: 3.24459 / 7
img 45: Caracas1967_08.jpg score: 1.97396 / 3
img 46: Caracas1967_09.jpg score: 1.75572 / 4
img 47: Caracas1967_10.jpg score: 1.88052 / 4
img 48: Caracas1967_11.jpg score: 1.51572 / 3
img 49: Caracas1967_12.jpg score: 2.8171 / 4
img 50: Caracas1967_13.jpg score: 0 / 1
img 51: Caracas1967_14.jpg score: 0.905687 / 2
img 52: Chichi1999_01.jpg score: 0.939367 / 2
img 53: Chichi1999_02.jpg score: 0.83386 / 2
img 54: Chichi1999_03.jpg score: 0.0126904 / 2
img 55: Chichi1999_04.jpg score: 2.23708 / 3
img 56: Chichi1999_05.jpg score: 2.32281 / 4
img 57: Chichi1999_06.jpg score: 4.03075 / 6
img 58: Chichi1999_07.jpg score: 3.88059 / 7
img 59: Chichi1999_08.jpg score: 0.728724 / 1
img 60: Chichi1999_09.jpg score: 0.979707 / 4
img 61: Chichi1999_10.jpg score: 0.429571 / 1
img 62: Chichi1999_11.jpg score: 0.919984 / 2
img 63: Chichi1999_12.jpg score: 0.704505 / 1
img 64: Chichi1999_13.jpg score: 0.635362 / 1
img 65: Chichi1999_14.jpg score: 11.3925 / 17
img 66: Chichi1999_15.jpg score: 0.0571485 / 1
img 67: Chichi1999_16.jpg score: 0.0670827 / 1
img 68: Chichi1999_17.jpg score: 0.660528 / 1
img 69: Chichi1999_18.jpg score: 3.75806 / 6
img 70: Chichi1999_19.jpg score: 0.773558 / 2
img 71: YogyakartaInd2006_03.jpg score: 3.48617 / 8
img 72: Chichi1999_20.jpg score: 1.03542 / 2
img 73: Chichi1999_21.jpg score: 3.44498 / 8
img 74: Chichi1999_22.jpg score: 2.58225 / 4
img 75: Chichi1999_23.jpg score: 5.94867 / 10
img 76: Chichi1999_24.jpg score: 2.56345 / 5
img 77: Chichi1999_25.jpg score: 0.669519 / 3
img 78: Chichi1999_26.jpg score: 1.4268 / 6
img 79: Chichi1999_27.jpg score: 0.0335786 / 1
img 80: Chichi1999_28.jpg score: 1.133 / 4
img 81: Chichi1999_29.jpg score: 1.04838 / 3
img 82: Chichi1999_30.jpg score: 0.97184 / 4
img 83: Chichi1999_31.jpg score: 0.632932 / 2
img 84: Chichi1999_32.jpg score: 1.58965 / 4
img 85: Chichi1999_33.jpg score: 2.61283 / 6
img 86: Chichi1999_34.jpg score: 0.734858 / 1
img 87: Duzce1999_01.jpg score: 0.231985 / 2
img 88: Duzce1999_02.jpg score: 0.429791 / 1
img 89: Duzce1999_03.jpg score: 1.04384 / 3
img 90: Gediz1970_01.jpg score: 1.0513 / 3
img 91: Guatemala1976_01.jpg score: 1.53492 / 6
img 92: Guatemala1976_02.jpg score: 0.297704 / 2
img 93: Guatemala1976_03.jpg score: 0.669998 / 1
img 94: Guatemala1976_04.jpg score: 1.51969 / 4
img 95: Guatemala1976_05.jpg score: 1.26266 / 3
img 96: Guatemala1976_06.jpg score: 0.010458 / 1
img 97: Guatemala1976_07.jpg score: 1.363 / 3
img 98: Guatemala1976_08.jpg score: 1.80386 / 3
img 99: Guatemala1976_09.jpg score: 5.10284 / 8
img 100: Guatemala1976_10.jpg score: 0.73357 / 3
img 101: Guatemala1976_11.jpg score: 0.038835 / 1
img 102: GujaratIndia2001_01.jpg score: 1.47333 / 4
img 103: Haiti2010_01.jpg score: 1.69875 / 5
img 104: Haiti2010_02.jpg score: 1.2569 / 2
img 105: Haiti2010_03.jpg score: 1.28066 / 4
img 106: Haiti2010_04.jpg score: 0.595863 / 3
img 107: Haiti2010_05.jpg score: 1.39199 / 4
img 108: Haiti2010_06.jpg score: 3.07845 / 7
img 109: ImperialValley1979_01.jpg score: 8.48278 / 11
img 110: ImperialValley1979_02.jpg score: 2.51977 / 6
img 111: ImperialValley1979_03.jpg score: 3.11656 / 7
img 112: Izmit1999_01.jpg score: 2.48623 / 5
img 113: Izmit1999_02.jpg score: 0.68932 / 1
img 114: Izmit1999_03.jpg score: 4.12474 / 8
img 115: Izmit1999_04.jpg score: 4.00094 / 10
img 116: Izmit1999_05.jpg score: 0.556612 / 1
img 117: Izmit1999_06.jpg score: 1.97029 / 6
img 118: Izmit1999_07.jpg score: 2.73575 / 7
